fips,average_20,complete_20,average_48,complete_48,average_50,complete_50,average_75,complete_75
US06007,17,5,17,27,17,27,54,27
US06009,17,5,17,37,17,37,54,13
US06011,17,5,17,27,17,27,54,27
US06013,17,5,17,27,17,27,54,27
US06015,3,17,26,35,12,35,12,35
US06017,17,5,17,37,17,37,54,13
US06019,17,5,17,27,17,27,54,27
US06021,17,5,17,27,17,27,54,27
US06023,17,5,17,27,17,27,54,27
US06025,7,5,15,37,15,37,0,69
US06027,17,5,17,37,17,37,54,13
US06029,17,5,17,27,17,27,54,27
US06031,17,5,17,27,17,27,54,27
US06033,17,5,17,27,17,27,54,27
US06035,17,5,17,37,17,37,60,13
US06037,17,5,17,37,17,37,54,69
US06039,17,5,17,27,17,27,54,27
US06041,17,5,17,27,17,27,54,27
US06043,17,5,17,37,17,37,54,13
US06045,17,5,17,27,17,27,54,27
US06047,17,5,17,27,17,27,54,27
US06049,2,3,9,4,9,0,23,5
US06051,17,5,17,37,17,37,54,13
US06053,17,5,17,27,17,27,54,27
US06055,17,5,17,27,17,27,54,27
US06057,17,5,17,27,17,27,54,27
US06059,17,5,17,37,17,37,54,69
US06061,17,5,17,27,17,27,54,27
US06063,17,5,17,37,17,37,60,13
US06065,17,5,17,37,17,37,54,69
US06067,17,5,17,27,17,27,54,27
US06069,17,5,17,27,17,27,54,27
US06071,17,5,17,37,17,37,54,69
US06073,17,5,17,37,17,37,54,69
US06075,17,5,17,27,17,27,54,27
US06077,17,5,17,27,17,27,54,27
US06079,17,5,17,27,17,27,54,27
US06081,17,5,17,27,17,27,54,27
US06083,17,5,17,37,17,37,54,69
US06085,17,5,17,27,17,27,54,27
US06087,17,5,17,27,17,27,54,27
US06089,17,5,17,27,17,27,54,27
US06091,17,5,17,37,17,37,60,13
US06093,17,5,17,27,17,27,54,27
US06095,17,5,17,27,17,27,54,27
US06097,17,5,17,27,17,27,54,27
US06099,17,5,17,27,17,27,54,27
US06101,17,5,17,27,17,27,54,27
US06103,17,5,17,27,17,27,54,27
US06105,2,3,9,4,9,0,23,3
US06107,17,5,17,27,17,27,54,27
US06109,17,5,17,37,17,37,54,13
US06111,17,5,17,37,17,37,54,69
US06113,17,5,17,27,17,27,54,27
US06115,17,5,17,27,17,27,54,27
US08001,7,13,33,31,33,31,68,64
US08003,7,2,33,21,33,21,68,4
US08005,7,13,33,31,33,31,68,64
US08007,7,2,33,21,33,21,68,4
US08009,2,3,9,22,9,22,23,0
US08011,2,3,9,4,9,0,61,3
US08013,7,13,33,31,33,31,68,64
US08014,7,13,33,31,33,31,68,64
US08015,7,13,33,31,33,31,68,64
US08017,2,3,9,22,9,22,23,0
US08019,7,13,33,31,33,31,68,64
US08021,2,3,9,22,9,22,23,0
US08023,7,2,33,21,33,21,68,4
US08025,2,3,9,4,9,0,23,5
US08027,2,3,9,4,9,0,23,3
US08029,7,3,33,22,33,22,68,0
US08031,7,13,33,31,33,31,68,64
US08033,2,3,9,22,9,22,23,0
US08035,7,13,33,31,33,31,68,64
US08037,7,13,33,31,33,31,68,64
US08039,2,3,9,4,9,0,23,5
US08041,7,13,33,31,33,31,68,64
US08043,7,3,33,4,33,0,68,3
US08045,7,13,33,31,33,31,68,64
US08047,7,13,33,31,33,31,68,64
US08049,7,13,33,31,33,31,68,64
US08051,7,2,33,21,33,21,68,4
US08053,2,2,9,21,9,21,23,4
US08055,7,2,33,21,33,21,68,4
US08057,7,3,33,4,33,0,68,5
US08059,7,13,33,31,33,31,68,64
US08061,2,3,9,22,9,22,23,0
US08063,9,3,31,4,31,0,3,5
US08065,7,13,33,31,33,31,68,64
US08067,7,2,33,21,33,21,68,4
US08069,7,13,33,31,33,31,68,64
US08071,2,3,9,23,9,23,23,15
US08073,2,3,9,4,9,0,23,5
US08075,0,3,13,4,13,0,13,3
US08077,7,13,33,31,33,31,68,64
US08079,7,2,33,21,33,21,68,4
US08081,7,3,33,12,33,12,68,18
US08083,7,2,15,25,15,25,0,25
US08085,7,3,33,22,33,22,68,0
US08087,0,3,13,4,13,0,13,3
US08089,2,3,9,4,9,0,61,3
US08091,7,3,33,22,33,22,68,0
US08093,7,13,33,31,33,31,68,64
US08095,2,3,9,4,9,0,23,3
US08097,7,13,33,31,33,31,68,64
US08099,2,3,9,22,9,22,23,0
US08101,7,13,33,31,33,31,68,64
US08103,2,3,9,4,9,0,23,3
US08105,7,2,33,21,33,21,68,4
US08107,7,3,33,12,33,12,68,18
US08109,7,2,33,21,33,21,68,4
US08111,7,2,33,21,33,21,68,4
US08113,7,3,33,22,33,22,68,0
US08115,2,3,9,4,9,0,23,5
US08117,7,13,33,31,33,31,68,64
US08119,7,13,33,31,33,31,68,64
US08121,2,3,9,4,9,0,23,3
US08123,7,13,33,31,33,31,68,64
US08125,2,3,9,4,9,0,23,3
US09001,1,19,22,42,22,42,47,42
US09003,1,19,22,42,22,42,47,42
US09005,1,19,22,42,22,42,47,42
US09007,1,19,22,42,22,42,47,42
US09009,1,19,22,42,22,42,47,42
US09011,1,19,22,42,22,42,47,42
US09013,1,19,22,42,22,42,47,42
US09015,1,19,22,42,22,42,47,42
US10001,15,9,12,38,5,38,59,38
US10003,15,9,12,38,5,38,59,38
US10005,15,9,12,38,5,38,59,38
US11001,15,9,12,47,5,47,59,7
US12001,12,16,25,3,25,3,25,40
US12003,12,16,25,3,25,3,25,40
US12005,16,12,40,19,40,19,40,28
US12007,12,16,25,3,25,3,25,40
US12009,12,16,25,3,25,3,25,58
US12011,12,16,25,3,25,3,25,58
US12013,2,3,9,23,9,23,23,15
US12015,12,16,25,3,25,3,25,58
US12017,12,16,25,3,25,3,25,58
US12019,12,16,25,3,25,3,25,40
US12021,12,16,25,3,25,3,25,58
US12023,12,16,25,3,25,3,25,40
US12027,2,16,3,3,3,3,52,58
US12029,2,3,9,22,9,22,23,0
US12031,12,16,25,3,25,3,25,40
US12033,16,12,40,19,40,19,40,65
US12035,12,16,25,3,25,3,25,40
US12037,16,3,40,22,40,22,40,0
US12039,16,12,40,19,40,19,40,28
US12041,12,3,25,4,25,0,25,5
US12043,12,16,25,3,25,3,25,58
US12045,16,3,40,22,40,22,40,0
US12047,2,3,42,18,42,18,42,62
US12049,2,3,3,4,3,0,52,5
US12051,12,16,25,3,25,3,25,58
US12053,12,16,25,3,25,3,25,58
US12055,2,3,3,4,3,0,52,5
US12057,12,16,25,3,25,3,25,58
US12059,16,12,40,19,40,19,40,28
US12061,12,16,25,3,25,3,25,58
US12063,16,12,40,19,40,19,40,28
US12065,16,12,40,19,40,19,40,28
US12067,2,3,42,18,42,18,42,62
US12069,12,16,25,3,25,3,25,58
US12071,12,16,25,3,25,3,25,58
US12073,16,12,40,19,40,19,40,28
US12075,12,3,25,4,25,0,25,5
US12077,2,3,9,23,9,23,23,15
US12079,2,3,9,4,9,0,23,5
US12081,12,16,25,3,25,3,25,58
US12083,12,16,25,3,25,3,25,58
US12085,12,16,25,3,25,3,25,58
US12086,12,16,25,3,25,3,25,58
US12087,12,16,25,3,25,3,25,58
US12089,4,7,10,26,10,26,50,12
US12091,16,12,40,19,40,19,40,65
